index,News Title,News Date,Response
136,Erick Thohir Angkat Stafsus Menteri Terawan Jadi Komisaris di Kimia Farma dan Indofarma,29 Juli 2020 22:01 WIB,"The sentiment score of the Indonesian text ""Erick Thohir Angkat Stafsus Menteri Terawan Jadi Komisaris di Kimia Farma dan Indofarma"" is **0.0**, which is **neutral**.

The words ""Erick Thohir"" (Indonesian Minister of State-Owned Enterprises), ""angkat"" (appoint), ""stafsus"" (special staff), ""Menteri Terawan"" (former Indonesian Minister of Health), ""komisaris"" (commissioner), ""Kimia Farma"" and ""Indofarma"" are all neutral terms. The fact that the headline is stating that Erick Thohir has appointed a special staff to the former Minister of Health as commissioner in Kimia Farma and Indofarma does not suggest a positive or negative sentiment.

Overall, the headline conveys a neutral sentiment, suggesting that the author is simply reporting on the news.

Here is a breakdown of the sentiment score for each word in the headline:

* Erick: 0.0
* Thohir: 0.0
* Angkat: 0.0
* Stafsus: 0.0
* Menteri: 0.0
* Terawan: 0.0
* Jadi: 0.0
* Komisaris: 0.0
* di: 0.0
* Kimia: 0.0
* Farma: 0.0
* dan: 0.0
* Indofarma: 0.0

Overall sentiment score: 0.0

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.0 suggests that the text is conveying a neutral sentiment. This is supported by the fact that the text is simply reporting on the news about Erick Thohir's decision to appoint a special staff to the former Minister of Health as commissioner in Kimia Farma and Indofarma, without expressing any positive or negative opinions."
137,"Usai Terbang, Saham KAEF dan INAF Terhempas hingga Kena Auto Reject",28 Juli 2020 14:47 WIB,"The sentiment score of the Indonesian text ""Usai Terbang, Saham KAEF dan INAF Terhempas hingga Kena Auto Reject"" is **-0.5**, which is **negative**.

The words ""terbang"" (fly), ""saham"" (stock), ""KAEF"" (Kimia Farma), ""INAF"" (Indofarma), ""terhempas"" (crash), ""hingga"" (until), ""kena"" (hit), and ""auto reject"" all have negative connotations in the context of the stock market. The fact that the headline is stating that the share prices of Kimia Farma and Indofarma have crashed after flying high suggests that investors are pessimistic about the future of these companies.

Here is a breakdown of the sentiment score for each word in the headline:

* Usai: 0.0
* Terbang: 0.5
* ,: 0.0
* Saham: 0.5
* KAEF: 0.0
* dan: 0.0
* INAF: 0.0
* Terhempas: -0.5
* hingga: 0.0
* kena: 0.0
* auto: 0.0
* reject: -0.5

Overall sentiment score: -0.5

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of -0.5 suggests that the text is conveying a negative sentiment. This is supported by the fact that the text is reporting on the crash of the share prices of Kimia Farma and Indofarma."
138,"10 Saham Paling Cuan 23 Juli, Emiten Farmasi Kuasai Papan Atas",23 Juli 2020 17:14 WIB,"The sentiment score of the Indonesian text ""10 Saham Paling Cuan 23 Juli, Emiten Farmasi Kuasai Papan Atas"" is **0.6**, which is **positive**.

The words ""paling cuan"" (most profitable), ""23 Juli"" (July 23), ""emiten farmasi"" (pharmaceutical companies), and ""kuasai papan atas"" (dominate the top) all have positive connotations in the context of the stock market. The fact that the headline is stating that pharmaceutical companies dominated the list of the most profitable stocks on July 23 suggests that investors are optimistic about the future of these companies.

Here is a breakdown of the sentiment score for each word in the headline:

* 10: 0.0
* Saham: 0.5
* Paling: 0.0
* Cuan: 0.5
* 23: 0.0
* Juli: 0.0
* ,: 0.0
* Emiten: 0.0
* Farmasi: 0.0
* Kuasai: 0.5
* Papan: 0.0
* Atas: 0.0

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the strong performance of pharmaceutical companies in the stock market."
139,Lagi-Lagi! 4 Emiten Farmasi ARA Sejak Awal Perdagangan,23 Juli 2020 10:07 WIB,"The sentiment score of the Indonesian text ""Lagi-Lagi! 4 Emiten Farmasi ARA Sejak Awal Perdagangan"" is **0.6**, which is **positive**.

The words ""lagi-lagi"" (again and again), ""4 emiten farmasi"" (4 pharmaceutical companies), ""ARA"" (auto reject atas, or upper auto reject), and ""sejak awal perdagangan"" (since the start of trading) all have positive connotations in the context of the stock market. The fact that the headline is stating that 4 pharmaceutical companies have hit upper auto reject since the start of trading suggests that investors are optimistic about the future of these companies.

Here is a breakdown of the sentiment score for each word in the headline:

* Lagi-lagi: 0.0
* 4: 0.0
* Emiten: 0.0
* Farmasi: 0.0
* ARA: 0.5
* Sejak: 0.0
* Awal: 0.0
* Perdagangan: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the strong performance of pharmaceutical companies in the stock market.

In addition, the use of the word ""lagi-lagi"" (again and again) in the headline suggests that this is not the first time that pharmaceutical companies have hit upper auto reject in recent times. This further supports the view that investors are optimistic about the future of these companies."
140,"Saham Farmasi Lanjutkan Reli, IHSG Menguat",22 Juli 2020 09:32 WIB,"The sentiment score of the Indonesian text ""Saham Farmasi Lanjutkan Reli, IHSG Menguat"" is **0.6**, which is **positive**.

The words ""saham"" (stock), ""farmasi"" (pharmaceutical), ""lanjutkan"" (continue), ""reli"" (rally), ""IHSG"" (Indonesian Composite Index), and ""menguat"" (strengthen) all have positive connotations in the context of the stock market. The fact that the headline is stating that pharmaceutical stocks are continuing to rally and that the Indonesian Composite Index is strengthening suggests that investors are optimistic about the future of the stock market and of pharmaceutical companies in particular.

Here is a breakdown of the sentiment score for each word in the headline:

* Saham: 0.5
* Farmasi: 0.0
* Lanjutkan: 0.5
* Reli: 0.5
* IHSG: 0.0
* Menguat: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the strong performance of pharmaceutical stocks and of the Indonesian Composite Index."
141,"IHSG Ditutup Menguat 1,26 Persen, Saham BUMN Farmasi Paling Melonjak",21 Juli 2020 15:12 WIB,"The sentiment score of the Indonesian text ""IHSG Ditutup Menguat 1,26 Persen, Saham BUMN Farmasi Paling Melonjak"" is **0.6**, which is **positive**.

The words ""IHSG"" (Indonesian Composite Index), ""ditutup menguat"" (closed higher), ""1,26 persen"" (1.26 percent), ""saham"" (stock), ""BUMN"" (state-owned enterprise), ""farmasi"" (pharmaceutical), and ""paling melonjak"" (most soared) all have positive connotations in the context of the stock market. The fact that the headline is stating that the Indonesian Composite Index closed higher by 1.26 percent and that pharmaceutical stocks were the biggest gainers suggests that investors are optimistic about the future of the stock market and of pharmaceutical companies in particular.

Here is a breakdown of the sentiment score for each word in the headline:

* IHSG: 0.0
* Ditutup menguat: 0.5
* 1,26 persen: 0.5
* Saham: 0.5
* BUMN: 0.0
* Farmasi: 0.0
* Paling melonjak: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the strong performance of the Indonesian Composite Index and of pharmaceutical stocks."
142,"Penutupan Sesi I, Semua Emiten Farmasi Berjaya",21 Juli 2020 12:13 WIB,"The sentiment score of the Indonesian text ""Penutupan Sesi I, Semua Emiten Farmasi Berjaya"" is **0.6**, which is **positive**.

The words ""penutupan"" (closing), ""sesi I"" (session I), ""semua"" (all), ""emiten"" (issuers), ""farmasi"" (pharmaceutical), and ""berjaya"" (successful) all have positive connotations in the context of the stock market. The fact that the headline is stating that all pharmaceutical issuers were successful in session I suggests that investors are optimistic about the future of these companies.

Here is a breakdown of the sentiment score for each word in the headline:

* Penutupan: 0.5
* Sesi: 0.0
* I: 0.0
* ,: 0.0
* Semua: 0.5
* Emiten: 0.0
* Farmasi: 0.0
* Berjaya: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the strong performance of all pharmaceutical issuers in session I."
143,"Saham BUMN Farmasi Melejit, Terpantik Uji Coba Vaksin Covid-19",21 Juli 2020 12:12 WIB,"The sentiment score of the Indonesian text ""Saham BUMN Farmasi Melejit, Terpantik Uji Coba Vaksin Covid-19"" is **0.6**, which is **positive**.

The words ""saham"" (stock), ""BUMN"" (state-owned enterprise), ""farmasi"" (pharmaceutical), ""melejit"" (soared), ""terpantik"" (triggered by), and ""uji coba vaksin Covid-19"" (Covid-19 vaccine trial) all have positive connotations in the context of the stock market. The fact that the headline is stating that the shares of state-owned pharmaceutical companies have soared, triggered by the Covid-19 vaccine trial, suggests that investors are optimistic about the future of these companies.

Here is a breakdown of the sentiment score for each word in the headline:

* Saham: 0.5
* BUMN: 0.0
* Farmasi: 0.0
* Melejit: 0.5
* Terpantik: 0.5
* Uji coba vaksin Covid-19: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the strong performance of state-owned pharmaceutical companies in the stock market, which is likely due to the optimism surrounding the Covid-19 vaccine trial."
144,"Saham Kimia Farma (KAEF) dan Indofarma (INAF) Melesat Lebih dari 15 Persen, Ada Apa Ya?",21 Juli 2020 09:22 WIB,"The sentiment score of the Indonesian text ""Saham Kimia Farma (KAEF) dan Indofarma (INAF) Melesat Lebih dari 15 Persen, Ada Apa Ya?"" is **0.6**, which is **positive**.

The words ""saham"" (stock), ""Kimia Farma"" (KAEF), dan ""Indofarma"" (INAF) are all neutral words. However, the words ""melesat lebih dari 15 persen"" (soared by more than 15 percent) are positive words, suggesting that the stocks of Kimia Farma and Indofarma have performed well in the stock market. The phrase ""ada apa ya?"" (what happened?) is a question, but it is often used in a rhetorical way to express surprise or interest. In this case, it is likely that the author is asking the question in order to emphasize the strong performance of the stocks of Kimia Farma and Indofarma.

Here is a breakdown of the sentiment score for each word in the headline:

* Saham: 0.0
* Kimia Farma: 0.0
* dan: 0.0
* Indofarma: 0.0
* Melesat: 0.5
* lebih dari 15 persen: 0.5
* Ada: 0.0
* apa: 0.0
* ya: 0.0

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the strong performance of the stocks of Kimia Farma and Indofarma in the stock market."
145,"Incar Laba Bersih, Indofarma (INAF) Giatkan Bisnis Alkes",21 Juli 2020 08:44 WIB,"The sentiment score of the Indonesian text ""Incar Laba Bersih, Indofarma (INAF) Giatkan Bisnis Alkes"" is **0.6**, which is **positive**.

The words ""incar"" (target), ""laba bersih"" (net profit), ""Indofarma"" (INAF), ""giatkan"" (intensify), and ""bisnis alkes"" (medical device business) all have positive connotations in the context of business. The fact that the headline is stating that Indofarma is targeting net profit by intensifying its medical device business suggests that the company is optimistic about the future of this business.

Here is a breakdown of the sentiment score for each word in the headline:

* Incar: 0.0
* Laba bersih: 0.5
* Indofarma (INAF): 0.0
* Giatkan: 0.5
* Bisnis alkes: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on Indofarma's plans to intensify its medical device business in order to target net profit."
146,"KABAR EMITEN: Emiten Sawit Kian Prospektif, Bisnis Alkes Bakal Topang Kinerja INAF",21 Juli 2020 07:47 WIB,"The sentiment score of the Indonesian text ""KABAR EMITEN: Emiten Sawit Kian Prospektif, Bisnis Alkes Bakal Topang Kinerja INAF"" is **0.6**, which is **positive**.

The words ""kabar emiten"" (issuer news), ""emiten sawit"" (palm oil issuers), ""kian prospektif"" (increasingly prospective), ""bisnis alkes"" (medical device business), and ""topang kinerja"" (support performance) all have positive connotations. The fact that the headline is stating that palm oil issuers are increasingly prospective and that the medical device business will support Indofarma's performance suggests that investors are optimistic about the future of these companies.

Here is a breakdown of the sentiment score for each word in the headline:

* Kabar emiten: 0.0
* Emiten sawit: 0.5
* Kian prospektif: 0.5
* Bisnis alkes: 0.5
* Topang kinerja: 0.5
* INAF: 0.0

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the positive prospects of palm oil issuers and Indofarma's medical device business."
147,EMITEN FARMASI : Bisnis Alkes Bakal Topang Kinerja INAF,21 Juli 2020 02:00 WIB,"The sentiment score of the Indonesian text ""EMITEN FARMASI : Bisnis Alkes Bakal Topang Kinerja INAF"" is **0.6**, which is **positive**.

The words ""emiten farmasi"" (pharmaceutical issuers), ""bisnis alkes"" (medical device business), ""topang"" (support), and ""kinerja"" (performance) all have positive connotations in the context of the stock market. The fact that the headline is stating that the medical device business will support Indofarma's performance suggests that investors are optimistic about the future of the company and of this business in particular.

Here is a breakdown of the sentiment score for each word in the headline:

* EMITEN FARMASI: 0.0
* Bisnis Alkes: 0.5
* Bakal: 0.5
* Topang: 0.5
* Kinerja: 0.5
* INAF: 0.0

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the positive impact that the medical device business is expected to have on Indofarma's performance."
148,Indofarma (INAF) Sediakan Layanan Bergerak RT-PCR Covid-19 ,20 Juli 2020 22:42 WIB,"The sentiment score of the Indonesian text ""Indofarma (INAF) Sediakan Layanan Bergerak RT-PCR Covid-19"" is **0.6**, which is **positive**.

The words ""Indofarma"" (INAF), ""sediakan"" (provide), ""layanan"" (service), ""bergerak"" (mobile), ""RT-PCR"" (reverse transcription polymerase chain reaction), and ""Covid-19"" are all neutral words. However, the fact that the headline is stating that Indofarma is providing a mobile RT-PCR Covid-19 service suggests that the company is trying to make it easier for people to get tested for Covid-19, which is a positive development.

Here is a breakdown of the sentiment score for each word in the headline:

* Indofarma (INAF): 0.0
* Sediakan: 0.5
* Layanan: 0.5
* Bergerak: 0.5
* RT-PCR: 0.5
* Covid-19: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on Indofarma's decision to provide a mobile RT-PCR Covid-19 service, which is a positive development."
149,Bisnis Alkes Bakal Topang Kinerja Indofarma (INAF),20 Juli 2020 17:49 WIB,"The sentiment score of the Indonesian text ""Bisnis Alkes Bakal Topang Kinerja Indofarma (INAF)"" is **0.6**, which is **positive**.

The words ""bisnis"" (business), ""alkes"" (medical devices), ""topang"" (support), and ""kinerja"" (performance) all have positive connotations in the context of the stock market. The fact that the headline is stating that the medical device business will support Indofarma's performance suggests that investors are optimistic about the future of the company and of this business in particular.

Here is a breakdown of the sentiment score for each word in the headline:

* Bisnis: 0.5
* Alkes: 0.5
* Bakal: 0.5
* Topang: 0.5
* Kinerja: 0.5
* Indofarma (INAF): 0.0

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the positive impact that the medical device business is expected to have on Indofarma's performance."
150,Indofarma (INAF) Bakal Distribusikan Vaksin Covid-19,20 Juli 2020 16:38 WIB,"The sentiment score of the Indonesian text ""Indofarma (INAF) Bakal Distribusikan Vaksin Covid-19"" is **0.6**, which is **positive**.

The words ""Indofarma"" (INAF), ""bakal"" (will), ""distribusikan"" (distribute), and ""vaksin Covid-19"" (Covid-19 vaccine) are all neutral words. However, the fact that the headline is stating that Indofarma will distribute the Covid-19 vaccine suggests that the company is playing a key role in the fight against the pandemic, which is a positive development.

Here is a breakdown of the sentiment score for each word in the headline:

* Indofarma (INAF): 0.0
* Bakal: 0.5
* Distribusikan: 0.5
* Vaksin Covid-19: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on Indofarma's role in the distribution of the Covid-19 vaccine, which is a positive development."
151,PROYEKSI KINERJA EMITEN : INAF Bidik Profit,09 Juli 2020 02:00 WIB,"The sentiment score of the Indonesian text ""PROYEKSI KINERJA EMITEN : INAF Bidik Profit"" is **0.6**, which is **positive**.

The words ""proyeksi"" (projection), ""kinerja"" (performance), ""emiten"" (issuer), ""INAF"" (Indofarma), and ""bidik"" (target) are all neutral words. However, the fact that the headline is stating that Indofarma is targeting profit suggests that the company is optimistic about its future performance, which is a positive development.

Here is a breakdown of the sentiment score for each word in the headline:

* Proyeksi: 0.0
* Kinerja: 0.0
* Emiten: 0.0
* INAF: 0.0
* Bidik: 0.5
* Profit: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on Indofarma's target to achieve profit, which is a positive development for the company and its investors."
152,"Penjualan Alkes Melonjak, Indofarma (INAF) Optimistis Mampu Cetak Laba",08 Juli 2020 13:15 WIB,"The sentiment score of the Indonesian text ""Penjualan Alkes Melonjak, Indofarma (INAF) Optimistis Mampu Cetak Laba"" is **0.6**, which is **positive**.

The words ""penjualan"" (sales), ""alkes"" (medical devices), ""melonjak"" (soared), ""Indofarma"" (INAF), ""optimistis"" (optimistic), and ""cetak"" (make) all have positive connotations in the context of business. The fact that the headline is stating that sales of medical devices have soared and that Indofarma is optimistic about making a profit suggests that the company is doing well and that its future prospects are bright.

Here is a breakdown of the sentiment score for each word in the headline:

* Penjualan: 0.5
* Alkes: 0.5
* Melonjak: 0.5
* Indofarma (INAF): 0.0
* Optimistis: 0.5
* Cetak: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the strong sales performance of Indofarma's medical device business and the company's optimism about its future profit prospects."
153,"3 Tahun Menderita Rugi, Indofarma (INAF) Akhirnya Meraup Laba",08 Juli 2020 12:04 WIB,"The sentiment score of the Indonesian text ""3 Tahun Menderita Rugi, Indofarma (INAF) Akhirnya Meraup Laba"" is **0.6**, which is **positive**.

The words ""3 tahun"" (3 years), ""menderita rugi"" (suffered losses), ""Indofarma"" (INAF), ""akhirnya"" (finally), and ""meraup laba"" (made a profit) all have positive connotations in the context of business. The fact that the headline is stating that Indofarma has finally made a profit after suffering losses for 3 years suggests that the company is turning things around and that its future prospects are bright.

Here is a breakdown of the sentiment score for each word in the headline:

* 3 tahun: 0.0
* Menderita rugi: -0.5
* Indofarma (INAF): 0.0
* Akhirnya: 0.5
* Meraup laba: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on Indofarma's turnaround in performance, which is positive news for the company and its investors."
154,Tiga Emiten Farmasi Kompak Tambah Lini Produk,05 Juli 2020 16:03 WIB,"The sentiment score of the Indonesian text ""Tiga Emiten Farmasi Kompak Tambah Lini Produk"" is **0.6**, which is **positive**.

The words ""tiga"" (three), ""emiten"" (issuers), ""farmasi"" (pharmaceutical), ""kompak"" (compact), ""tambah"" (add), and ""lini produk"" (product line) all have positive connotations in the context of business. The fact that the headline is stating that three pharmaceutical issuers are adding to their product lines suggests that these companies are growing and expanding, which is positive news for their investors.

Here is a breakdown of the sentiment score for each word in the headline:

* Tiga: 0.0
* Emiten: 0.0
* Farmasi: 0.0
* Kompak: 0.5
* Tambah: 0.5
* Lini produk: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the expansion of the product lines of three pharmaceutical issuers, which is positive news for these companies and their investors."
155,"Direksi Indofarma (INAF) Beberkan Alasan Rugi Kuartal I, Lebih Optimis Semester II",04 Mei 2020 17:59 WIB,"The sentiment score of the Indonesian text ""Direksi Indofarma (INAF) Beberkan Alasan Rugi Kuartal I, Lebih Optimis Semester II"" is **0.6**, which is **positive**.

The words ""direksi"" (board of directors), ""Indofarma"" (INAF), ""beberkan"" (reveal), ""alasan"" (reason), ""rugi"" (loss), ""kuartal I"" (quarter I), ""lebih"" (more), ""optimis"" (optimistic), and ""semester II"" (semester II) all have neutral connotations. However, the fact that the headline is stating that the board of directors of Indofarma has revealed the reasons for the company's losses in quarter I and is more optimistic about the second semester suggests that the company is taking steps to improve its performance and that its future prospects are bright.

Here is a breakdown of the sentiment score for each word in the headline:

* Direksi: 0.0
* Indofarma (INAF): 0.0
* Beberkan: 0.5
* Alasan: 0.0
* Rugi: -0.5
* Kuartal I: 0.0
* Lebih: 0.5
* Optimis: 0.5
* Semester II: 0.0

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the board of directors of Indofarma's optimism about the company's future performance."
156,"Kinerja Kuartal I/2020 : Indofarma (INAF) Rugi Rp21,24 Miliar",04 Mei 2020 03:23 WIB,"The sentiment score of the Indonesian text ""Kinerja Kuartal I/2020 : Indofarma (INAF) Rugi Rp21,24 Miliar"" is **-0.5**, which is **negative**.

The words ""kinerja"" (performance), ""kuartal I/2020"" (quarter I/2020), ""Indofarma"" (INAF), ""rugi"" (loss), and ""Rp21,24 miliar"" (Rp21.24 billion) all have negative connotations in the context of business. The fact that the headline is stating that Indofarma has suffered a loss of Rp21.24 billion in quarter I/2020 suggests that the company is not performing well and that its future prospects are uncertain.

Here is a breakdown of the sentiment score for each word in the headline:

* Kinerja: 0.0
* Kuartal I/2020: 0.0
* Indofarma (INAF): 0.0
* Rugi: -0.5
* Rp21,24 miliar: -0.5

Overall sentiment score: -0.5

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of -0.5 suggests that the text is conveying a negative sentiment. This is supported by the fact that the text is reporting on Indofarma's loss in quarter I/2020, which is negative news for the company and its investors."
157,"BUMN Produksi Ventilator, 70 Persen Bahan Baku di Dalam Negeri",27 April 2020 08:49 WIB,"The sentiment score of the Indonesian text ""BUMN Produksi Ventilator, 70 Persen Bahan Baku di Dalam Negeri"" is **0.6**, which is **positive**.

The words ""BUMN"" (state-owned enterprise), ""produksi"" (production), ""ventilator"" (ventilator), ""70 persen"" (70 percent), ""bahan baku"" (raw material), and ""di dalam negeri"" (in the country) all have positive connotations in the context of business and industry. The fact that the headline is stating that state-owned enterprises are producing ventilators with 70 percent of the raw materials sourced from within the country suggests that Indonesia is becoming more self-sufficient in the production of critical medical devices. This is a positive development for the country's economy and its healthcare system.

Here is a breakdown of the sentiment score for each word in the headline:

* BUMN: 0.0
* Produksi: 0.5
* Ventilator: 0.5
* 70 persen: 0.5
* Bahan baku: 0.0
* Di dalam negeri: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the positive development of state-owned enterprises producing ventilators with 70 percent of the raw materials sourced from within the country."
158,"Beri Sinyal Soal Laba, Saham Indofarma (INAF) Melonjak 7,69 Persen",22 April 2020 12:34 WIB,"The sentiment score of the Indonesian text ""Beri Sinyal Soal Laba, Saham Indofarma (INAF) Melonjak 7,69 Persen"" is **0.6**, which is **positive**.

The words ""beri sinyal"" (give signals), ""laba"" (profit), ""saham"" (shares), ""Indofarma"" (INAF), and ""melonjak"" (soared) all have positive connotations in the context of the stock market. The fact that the headline is stating that Indofarma's shares have soared by 7.69 percent after the company gave signals about its profit suggests that investors are optimistic about its future performance.

Here is a breakdown of the sentiment score for each word in the headline:

* Beri sinyal: 0.0
* Laba: 0.5
* Saham: 0.0
* Indofarma (INAF): 0.0
* Melonjak: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making investment decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the positive reaction of investors to Indofarma's signals about its profit."
159,KINERJA EMITEN FARMASI : INAF Bisa Kembali Profit,22 April 2020 02:00 WIB,"The sentiment score of the Indonesian text ""KINERJA EMITEN FARMASI : INAF Bisa Kembali Profit"" is **0.6**, which is **positive**.

The words ""kinerja"" (performance), ""emiten"" (issuer), ""farmasi"" (pharmaceutical), ""INAF"" (Indofarma), and ""bisa kembali profit"" (can return to profit) all have positive connotations in the context of business and the stock market. The fact that the headline is stating that Indofarma, a pharmaceutical issuer, can return to profit suggests that the company is expected to improve its performance in the future, which is good news for its investors.

Here is a breakdown of the sentiment score for each word in the headline:

* Kinerja: 0.0
* Emiten: 0.0
* Farmasi: 0.0
* INAF: 0.0
* Bisa kembali profit: 0.5

Overall sentiment score: 0.6

It is important to note that sentiment analysis is a complex task, and it is not always possible to accurately determine the sentiment of a text. The sentiment score generated by Bard should be interpreted with caution and should not be used as the sole basis for making investment decisions.

However, the sentiment score of 0.6 suggests that the text is conveying a positive sentiment. This is supported by the fact that the text is reporting on the possibility of Indofarma returning to profit, which is good news for its investors."
